Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Éderson,LT,24.0,36,32,2.869,31.9,6.0,1.0,7.0,6.0,0.0,0.0,8.0,0.0,3.5,3.5,1.4,49.0,32.0,214.0,50.0,19.0,3.0,22.0,19.0,22.0,11.0,4.0,15.0,11.0,15.0,83.0,49.0,38.0,38.0,7.0,44.0,63.0,698.0,19.0,48.0,8.0,40.0,41.0,124.0,33.0,1.0
Berat Djimsiti,ZG,30.0,37,32,2.832,31.5,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,0.7,15.0,6.0,79.0,10.0,0.0,3.0,3.0,0.0,3.0,3.0,2.0,5.0,3.0,5.0,42.0,24.0,29.0,12.0,1.0,19.0,31.0,613.0,12.0,53.0,33.0,20.0,57.0,99.0,100.0,0.0
Giorgio Scalvini,ZG,19.0,33,31,2.544,28.3,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,1.4,1.4,1.1,25.0,30.0,116.0,33.0,4.0,11.0,14.0,4.0,14.0,5.0,4.0,9.0,5.0,9.0,53.0,33.0,29.0,19.0,5.0,19.0,40.0,475.0,21.0,44.0,17.0,27.0,59.0,112.0,71.0,0.0
Teun Koopmeiners,LT,25.0,34,29,2.627,29.2,12.0,5.0,17.0,10.0,2.0,2.0,5.0,0.0,6.5,5.0,5.9,109.0,79.0,169.0,190.0,41.0,17.0,58.0,34.0,51.0,22.0,20.0,43.0,17.0,37.0,39.0,24.0,12.0,22.0,5.0,17.0,50.0,340.0,33.0,33.0,3.0,30.0,10.0,49.0,35.0,0.0
Marten de Roon,"LT,ZG",32.0,30,29,2.599,28.9,0.0,5.0,5.0,0.0,0.0,0.0,10.0,0.0,0.6,0.6,1.2,18.0,28.0,178.0,22.0,0.0,17.0,17.0,0.0,17.0,2.0,4.0,6.0,2.0,6.0,80.0,43.0,36.0,32.0,12.0,35.0,82.0,427.0,47.0,36.0,10.0,26.0,40.0,120.0,54.0,0.0
Matteo Ruggeri,ZG,21.0,34,28,2.449,27.2,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,1.8,23.0,55.0,142.0,132.0,0.0,15.0,15.0,0.0,15.0,2.0,7.0,8.0,2.0,8.0,29.0,15.0,14.0,7.0,8.0,16.0,30.0,533.0,14.0,46.0,4.0,42.0,23.0,52.0,44.0,0.0
Marco Carnesecchi,G,23.0,27,27,2.425,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0
Sead Kolašinac,ZG,30.0,30,25,2.178,24.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.3,1.3,1.1,24.0,32.0,94.0,30.0,4.0,0.0,4.0,4.0,4.0,6.0,4.0,10.0,6.0,10.0,44.0,32.0,23.0,19.0,2.0,30.0,49.0,612.0,19.0,22.0,9.0,13.0,21.0,65.0,47.0,0.0
Charles De Ketelaere,"AT,LT",22.0,35,25,2.026,22.5,10.0,8.0,18.0,9.0,1.0,1.0,1.0,0.0,7.1,6.3,6.1,124.0,88.0,126.0,219.0,44.0,36.0,80.0,40.0,76.0,31.0,27.0,59.0,28.0,55.0,33.0,21.0,3.0,12.0,18.0,10.0,20.0,500.0,10.0,30.0,2.0,28.0,7.0,40.0,6.0,0.0
Mario Pašalić,LT,28.0,34,23,2.051,22.8,6.0,6.0,12.0,4.0,2.0,2.0,3.0,0.0,7.1,5.5,4.1,96.0,48.0,129.0,74.0,26.0,26.0,53.0,18.0,44.0,31.0,18.0,49.0,24.0,42.0,28.0,17.0,9.0,18.0,1.0,14.0,31.0,452.0,17.0,29.0,6.0,23.0,16.0,44.0,34.0,0.0
Davide Zappacosta,ZG,31.0,31,23,1.867,20.7,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.2,2.2,1.4,37.0,67.0,78.0,132.0,10.0,5.0,14.0,10.0,14.0,11.0,7.0,18.0,11.0,18.0,30.0,20.0,15.0,10.0,5.0,16.0,34.0,471.0,18.0,29.0,4.0,25.0,5.0,35.0,19.0,0.0
Ademola Lookman,"AT,LT",25.0,31,22,1.894,21.0,11.0,7.0,18.0,11.0,0.0,0.0,4.0,0.0,9.1,9.1,5.2,143.0,72.0,97.0,222.0,52.0,33.0,86.0,52.0,86.0,43.0,25.0,68.0,43.0,68.0,20.0,15.0,2.0,11.0,7.0,8.0,22.0,364.0,14.0,19.0,0.0,19.0,9.0,29.0,0.0,1.0
Gianluca Scamacca,AT,24.0,29,17,1.453,16.1,12.0,6.0,18.0,12.0,0.0,0.0,1.0,0.0,6.5,6.5,3.9,105.0,22.0,41.0,167.0,74.0,37.0,111.0,74.0,111.0,40.0,24.0,65.0,40.0,65.0,15.0,9.0,4.0,5.0,6.0,7.0,14.0,500.0,7.0,7.0,1.0,6.0,4.0,19.0,9.0,0.0
Aleksei Miranchuk,"LT,AT",27.0,27,12,1.176,13.1,3.0,5.0,8.0,3.0,0.0,0.0,1.0,0.0,5.4,5.4,4.1,95.0,41.0,75.0,122.0,23.0,38.0,61.0,23.0,61.0,41.0,31.0,72.0,41.0,72.0,12.0,6.0,6.0,4.0,2.0,5.0,13.0,385.0,8.0,6.0,1.0,5.0,2.0,14.0,5.0,1.0
Emil Holm,ZG,23.0,22,12,947.0,10.5,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,2.7,2.7,0.8,36.0,28.0,27.0,80.0,10.0,10.0,19.0,10.0,19.0,26.0,8.0,34.0,26.0,34.0,28.0,19.0,17.0,9.0,2.0,16.0,36.0,444.0,20.0,25.0,3.0,22.0,7.0,35.0,25.0,0.0
Juan Musso,G,29.0,11,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0
Hans Hateboer,ZG,29.0,23,10,1.113,12.4,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,2.0,24.0,19.0,42.0,71.0,0.0,8.0,8.0,0.0,8.0,3.0,16.0,19.0,3.0,19.0,12.0,5.0,8.0,2.0,2.0,5.0,15.0,333.0,10.0,21.0,7.0,14.0,4.0,16.0,21.0,0.0
Rafael Tolói,ZG,32.0,18,10,965.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.1,0.1,0.1,1.0,8.0,53.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,20.0,9.0,7.0,8.0,5.0,14.0,27.0,519.0,13.0,9.0,4.0,5.0,13.0,33.0,29.0,0.0
Isak Hien,ZG,24.0,16,9,937.0,10.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,3.0,0.0,24.0,0.0,0.0,10.0,10.0,0.0,10.0,2.0,1.0,3.0,2.0,3.0,18.0,12.0,8.0,10.0,0.0,7.0,15.0,467.0,8.0,12.0,5.0,7.0,14.0,32.0,33.0,0.0
El Bilal Touré,AT,21.0,11,3,394.0,4.4,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.2,1.2,0.8,20.0,16.0,11.0,39.0,46.0,0.0,46.0,46.0,46.0,28.0,18.0,46.0,28.0,46.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0
Mitchel Bakker,ZG,23.0,14,3,382.0,4.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,3.0,12.0,10.0,20.0,24.0,0.0,24.0,24.0,24.0,5.0,3.0,8.0,5.0,8.0,7.0,3.0,6.0,1.0,0.0,2.0,12.0,167.0,10.0,5.0,0.0,5.0,3.0,10.0,6.0,0.0
Luis Muriel,"AT,LT",32.0,18,2,409.0,4.5,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,1.7,33.0,19.0,24.0,57.0,44.0,22.0,66.0,44.0,66.0,34.0,38.0,72.0,34.0,72.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,1000.0,0.0,4.0,0.0,4.0,1.0,4.0,0.0,0.0
Duván Zapata,AT,32.0,2,2,112.0,1.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,5.0,3.0,3.0,13.0,80.0,0.0,80.0,80.0,80.0,33.0,10.0,44.0,33.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Giovanni Bonfanti,ZG,20.0,2,1,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,4.0,2.0,2.0,2.0,0.0,2.0,3.0,667.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0
Nadir Zortea,ZG,24.0,5,0,149.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,4.0,7.0,10.0,22.0,60.0,0.0,60.0,60.0,60.0,5.0,16.0,21.0,5.0,21.0,5.0,4.0,3.0,1.0,1.0,1.0,4.0,250.0,3.0,2.0,0.0,2.0,1.0,6.0,3.0,0.0
Michel Ndary Adopo,LT,23.0,10,0,109.0,1.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,1.0,3.0,9.0,16.0,0.0,83.0,83.0,0.0,83.0,6.0,6.0,11.0,6.0,11.0,4.0,3.0,0.0,3.0,1.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0
José Luis Palomino,ZG,33.0,4,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1000.0,0.0,2.0,1.0,1.0,1.0,3.0,6.0,0.0
